,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
2345,CHEMBL2314617,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Br)cc3)c3c(F)ccc(F)c3OC[C@@H]12,2.5,active,502.5570000000002,2.8748000000000005,0.0,7.0,8.602059991327963
2346,CHEMBL2314618,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,11.0,active,497.54100000000017,2.7378800000000005,0.0,7.0,7.958607314841775
2347,CHEMBL2159511,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,4.0,active,551.427,3.628700000000003,0.0,6.0,8.397940008672037
2348,CHEMBL2314601,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)c1cnn[nH]1,4.3,active,540.528,3.8850000000000033,0.0,6.0,8.366531544420413
2349,CHEMBL2314602,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)c1ncn[nH]1,2.1,active,506.9760000000001,3.5196000000000023,0.0,6.0,8.67778070526608
2350,CHEMBL2314603,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)c1ncc[nH]1,1.4,active,538.5940000000002,2.6257800000000007,1.0,7.0,8.853871964321762
2351,CHEMBL2314604,O=C(O)CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,2.7,active,522.5950000000001,3.3945800000000013,1.0,6.0,8.568636235841012
2352,CHEMBL2314605,O=S(=O)(CCCO)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,4.5,active,581.5810000000002,3.7729000000000026,1.0,6.0,8.346787486224656
2353,CHEMBL2314606,O=S(=O)(CCO)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,1.0,active,565.5820000000001,4.541700000000004,1.0,5.0,9.0
2354,CHEMBL2314607,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)CC(F)(F)F,7.3,active,567.5540000000002,3.526900000000002,1.0,6.0,8.136677139879543
